timestamp,q,dq,tau,merror
2025-10-18T15:07:21.251460,3.9557621479034424,0.3515625,0.0,0
2025-10-18T15:07:21.254431,3.955378770828247,-1.046875,0.00390625,0
2025-10-18T15:07:21.257416,3.9557621479034424,0.703125,0.00390625,0
2025-10-18T15:07:21.260442,3.9557621479034424,0.0,0.01953125,0
2025-10-18T15:07:21.263429,3.956145763397217,0.0234375,-0.00390625,0
2025-10-18T15:07:21.265427,3.956145763397217,0.21875,0.0078125,0
2025-10-18T15:07:21.267419,3.956145763397217,-0.5546875,0.01953125,0
2025-10-18T15:07:21.269419,3.9557621479034424,-1.2265625,-0.0078125,0
2025-10-18T15:07:21.271432,3.9557621479034424,-0.4140625,0.00390625,0
2025-10-18T15:07:21.274448,3.9557621479034424,-0.75,0.03125,0
2025-10-18T15:07:21.279211,3.9557621479034424,0.0,-0.00390625,0
2025-10-18T15:07:21.282449,3.9557621479034424,0.0,0.0,0
2025-10-18T15:07:21.285458,3.9557621479034424,-0.2421875,-0.00390625,0
2025-10-18T15:07:21.288479,3.956145763397217,0.1875,0.01171875,0
2025-10-18T15:07:21.291464,3.956145763397217,-0.484375,0.00390625,0
2025-10-18T15:07:21.295458,3.956145763397217,-0.109375,-0.015625,0
2025-10-18T15:07:21.298443,3.9557621479034424,-0.5625,0.0078125,0
2025-10-18T15:07:21.301429,3.9557621479034424,0.0,-0.00390625,0
2025-10-18T15:07:21.303420,3.9557621479034424,0.578125,-0.02734375,0
2025-10-18T15:07:21.305419,3.9557621479034424,-0.03125,-0.00390625,0
2025-10-18T15:07:21.307420,3.956145763397217,0.375,0.0078125,0
2025-10-18T15:07:21.309420,3.956145763397217,0.4921875,-0.01171875,0
2025-10-18T15:07:21.311424,3.956145763397217,0.0625,0.0,0
2025-10-18T15:07:21.314437,3.956145763397217,0.21875,0.0,0
2025-10-18T15:07:21.317439,3.9557621479034424,-0.578125,0.00390625,0
2025-10-18T15:07:21.320417,3.9557621479034424,0.3125,0.01171875,0
2025-10-18T15:07:21.322422,3.9557621479034424,0.1328125,0.00390625,0
2025-10-18T15:07:21.324420,3.956145763397217,0.625,0.0,0
2025-10-18T15:07:21.326421,3.956145763397217,0.078125,-0.00390625,0
2025-10-18T15:07:21.328422,3.956529140472412,0.4921875,0.00390625,0
2025-10-18T15:07:21.330423,3.956145763397217,-1.21875,-0.00390625,0
2025-10-18T15:07:21.332421,3.956529140472412,0.0,0.015625,0
2025-10-18T15:07:21.334422,3.956145763397217,-0.3125,0.0,0
2025-10-18T15:07:21.336420,3.9557621479034424,-0.765625,0.0,0
2025-10-18T15:07:21.338425,3.9557621479034424,-0.1015625,-0.0234375,0
2025-10-18T15:07:21.340430,3.9557621479034424,0.671875,0.0,0
2025-10-18T15:07:21.342423,3.955378770828247,-1.09375,0.0,0
2025-10-18T15:07:21.344421,3.9557621479034424,0.3046875,-0.00390625,0
2025-10-18T15:07:21.346424,3.9557621479034424,0.9453125,0.0,0
2025-10-18T15:07:21.348425,3.956145763397217,-0.4921875,-0.0078125,0
2025-10-18T15:07:21.351420,3.956529140472412,0.2109375,0.0,0
2025-10-18T15:07:21.353426,3.956145763397217,-0.0625,0.01171875,0
2025-10-18T15:07:21.355428,3.956145763397217,0.0078125,0.0,0
2025-10-18T15:07:21.357429,3.9557621479034424,-0.140625,0.0,0
2025-10-18T15:07:21.359425,3.9557621479034424,0.0,-0.0078125,0
2025-10-18T15:07:21.361428,3.9557621479034424,0.2265625,0.01171875,0
2025-10-18T15:07:21.363426,3.9557621479034424,0.0078125,0.0,0
2025-10-18T15:07:21.365426,3.9557621479034424,-0.1875,0.0,0
2025-10-18T15:07:21.367428,3.9557621479034424,-1.21875,0.00390625,0
2025-10-18T15:07:21.369426,3.956145763397217,0.2890625,-0.01953125,0
2025-10-18T15:07:21.371426,3.956145763397217,-0.203125,0.0,0
