T,pitch_pos,pitch_vel,wheel_pos,wheel_vel,waist_pos,waist_pos_degree,waist_vel,c_pitch_pos,c_pitch_vel,Fr,Fb,wheel_torque,waist_torque
0.07, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.072, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.074, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.077, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.079, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.082, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.084, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.086, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.088, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.09, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.092, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.095, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.098, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.101, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.105, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.109, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.112, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.114, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.118, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.12, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.123, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.125, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.127, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.129, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.132, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.135, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.138, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.14, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.143, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.145, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.148, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.15, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.152, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.154, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.155, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.158, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.16, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.162, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.164, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.166, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.168, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.17, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.172, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.174, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.176, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.178, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.18, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.182, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.184, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.186, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.188, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.19, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.192, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.194, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.196, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.198, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.2, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.202, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.205, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.207, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.209, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.211, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.213, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.216, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.218, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.22, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.222, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.224, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.226, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.228, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.23, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.232, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.234, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.239, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.241, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.243, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.245, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.247, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.249, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.251, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.253, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.255, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.257, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.259, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.261, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.263, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.265, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.267, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.269, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.271, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.273, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.275, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.277, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.279, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.281, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.284, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.286, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.288, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.29, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.292, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.294, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.296, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.298, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.3, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.302, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.304, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.306, -2.41876, -0.00522108, 0, 0, -2.35, -1233.64, 0, 0.219729, -0.00522108, 2.22, 0, 0, 0
0.308, -2.79452, -0.00753474, 0, 0, -2.35, -1233.64, 0, -0.156033, -0.00753474, -0.7071, 0, 0, 0
0.31, -2.96105, -0.00937767, 0, 0, -2.35, -1233.64, 0, -0.32257, -0.00937767, -2.22, 0, 0, 0
0.313, -3.03488, -0.01038, 0, 0, -2.35, -1233.64, 0, -0.396392, -0.01038, -2.22, 0, 0, 0
0.315, -3.06759, -0.0108242, 0, 0, -2.35, -1233.64, 0, -0.429105, -0.0108242, -2.22, 0, 0, 0
0.317, -3.08209, -0.011021, 0, 0, -2.35, -1233.64, 0, -0.443601, -0.011021, -2.22, 0, 0, 0
0.319, -3.08853, -0.011257, 0, 0, -2.35, -1233.64, 0, -0.450049, -0.011257, -2.22, 0, 0, 0
0.321, -3.09142, -0.0119926, 0, 0, -2.35, -1233.64, 0, -0.452933, -0.0119926, -2.22, 0, 0, 0
0.323, -3.0927, -0.0123185, 0, 0, -2.35, -1233.64, 0, -0.454211, -0.0123185, -2.22, 0, 0, 0
0.325, -3.09326, -0.012463, 0, 0, -2.35, -1233.64, 0, -0.454778, -0.012463, -2.22, 0, 0, 0
0.327, -3.09354, -0.012452, 0, 0, -2.35, -1233.64, 0, -0.455055, -0.012452, -2.22, 0, 0, 0
0.329, -3.09369, -0.0129652, 0, 0, -2.35, -1233.64, 0, -0.455205, -0.0129652, -2.22, 0, 0, 0
0.331, -3.09376, -0.0131927, 0, 0, -2.35, -1233.64, 0, -0.455271, -0.0131927, -2.22, 0, 0, 0
0.333, -3.09379, -0.0132935, 0, 0, -2.35, -1233.64, 0, -0.455301, -0.0132935, -2.22, 0, 0, 0
0.335, -3.09383, -0.0127471, 0, 0, -2.35, -1233.64, 0, -0.455343, -0.0127471, -2.22, 0, 0, 0
0.337, -3.09387, -0.0130617, 0, 0, -2.35, -1233.64, 0, -0.455389, -0.0130617, -2.22, 0, 0, 0
0.339, -3.09389, -0.0132011, 0, 0, -2.35, -1233.64, 0, -0.455409, -0.0132011, -2.22, 0, 0, 0
0.341, -3.09393, -0.0124847, 0, 0, -2.35, -1233.64, 0, -0.455445, -0.0124847, -2.22, 0, 0, 0
0.343, -3.09394, -0.0121672, 0, 0, -2.35, -1233.64, 0, -0.45546, -0.0121672, -2.22, 0, 0, 0
0.345, -3.09398, -0.0143628, 0, 0, -2.35, -1233.64, 0, -0.455501, -0.0143628, -2.22, 0, 0, 0
0.347, -3.094, -0.0153358, 0, 0, -2.35, -1233.64, 0, -0.455518, -0.0153358, -2.22, 0, 0, 0
0.349, -3.09404, -0.0146894, 0, 0, -2.35, -1233.64, 0, -0.455558, -0.0146894, -2.22, 0, 0, 0
0.351, -3.09406, -0.014403, 0, 0, -2.35, -1233.64, 0, -0.455575, -0.014403, -2.22, 0, 0, 0
0.353, -3.0941, -0.0144261, 0, 0, -2.35, -1233.64, 0, -0.455616, -0.0144261, -2.22, 0, 0, 0
0.355, -3.09412, -0.0144363, 0, 0, -2.35, -1233.64, 0, -0.455635, -0.0144363, -2.22, 0, 0, 0
0.357, -3.09416, -0.0147377, 0, 0, -2.35, -1233.64, 0, -0.455676, -0.0147377, -2.22, 0, 0, 0
0.359, -3.09418, -0.0148713, 0, 0, -2.35, -1233.64, 0, -0.455694, -0.0148713, -2.22, 0, 0, 0
0.361, -3.09419, -0.0149305, 0, 0, -2.35, -1233.64, 0, -0.455702, -0.0149305, -2.22, 0, 0, 0
0.363, -3.09422, -0.0148088, 0, 0, -2.35, -1233.64, 0, -0.455737, -0.0148088, -2.22, 0, 0, 0
0.365, -3.09424, -0.0147548, 0, 0, -2.35, -1233.64, 0, -0.455752, -0.0147548, -2.22, 0, 0, 0
0.367, -3.09428, -0.0152502, 0, 0, -2.35, -1233.64, 0, -0.455793, -0.0152502, -2.22, 0, 0, 0
0.369, -3.09429, -0.0154698, 0, 0, -2.35, -1233.64, 0, -0.455811, -0.0154698, -2.22, 0, 0, 0
0.371, -3.09435, -0.0155674, 0, 0, -2.35, -1233.64, 0, -0.455867, -0.0155674, -2.22, 0, 0, 0
0.373, -3.09438, -0.0156107, 0, 0, -2.35, -1233.64, 0, -0.455892, -0.0156107, -2.22, 0, 0, 0
0.375, -3.09443, -0.0166287, 0, 0, -2.35, -1233.64, 0, -0.455941, -0.0166287, -2.22, 0, 0, 0
0.377, -3.09445, -0.0170799, 0, 0, -2.35, -1233.64, 0, -0.455963, -0.0170799, -2.22, 0, 0, 0
0.379, -3.09449, -0.0174285, 0, 0, -2.35, -1233.64, 0, -0.45601, -0.0174285, -2.22, 0, 0, 0
0.381, -3.09452, -0.017583, 0, 0, -2.35, -1233.64, 0, -0.456032, -0.017583, -2.22, 0, 0, 0
0.383, -3.09457, -0.0169717, 0, 0, -2.35, -1233.64, 0, -0.456088, -0.0169717, -2.22, 0, 0, 0
0.385, -3.0946, -0.0167009, 0, 0, -2.35, -1233.64, 0, -0.456113, -0.0167009, -2.22, 0, 0, 0
0.387, -3.09466, -0.0177422, 0, 0, -2.35, -1233.64, 0, -0.456176, -0.0177422, -2.22, 0, 0, 0
0.389, -3.09469, -0.0182036, 0, 0, -2.35, -1233.64, 0, -0.456203, -0.0182036, -2.22, 0, 0, 0
0.391, -3.09474, -0.0177778, 0, 0, -2.35, -1233.64, 0, -0.456254, -0.0177778, -2.22, 0, 0, 0
0.393, -3.09476, -0.0175891, 0, 0, -2.35, -1233.64, 0, -0.456277, -0.0175891, -2.22, 0, 0, 0
0.395, -3.09481, -0.0181734, 0, 0, -2.35, -1233.64, 0, -0.456327, -0.0181734, -2.22, 0, 0, 0
0.397, -3.09483, -0.0184323, 0, 0, -2.35, -1233.64, 0, -0.45635, -0.0184323, -2.22, 0, 0, 0
0.399, -3.09489, -0.0185469, 0, 0, -2.35, -1233.64, 0, -0.456402, -0.0185469, -2.22, 0, 0, 0
0.401, -3.09491, -0.0185977, 0, 0, -2.35, -1233.64, 0, -0.456425, -0.0185977, -2.22, 0, 0, 0
0.403, -3.09496, -0.019213, 0, 0, -2.35, -1233.64, 0, -0.456478, -0.019213, -2.22, 0, 0, 0
0.405, -3.09499, -0.0194857, 0, 0, -2.35, -1233.64, 0, -0.456502, -0.0194857, -2.22, 0, 0, 0
0.407, -3.09504, -0.0192369, 0, 0, -2.35, -1233.64, 0, -0.456555, -0.0192369, -2.22, 0, 0, 0
0.409, -3.09506, -0.0191266, 0, 0, -2.35, -1233.64, 0, -0.456579, -0.0191266, -2.22, 0, 0, 0
0.411, -3.09512, -0.0198923, 0, 0, -2.35, -1233.64, 0, -0.456634, -0.0198923, -2.22, 0, 0, 0
0.413, -3.09514, -0.0202315, 0, 0, -2.35, -1233.64, 0, -0.456658, -0.0202315, -2.22, 0, 0, 0
0.415, -3.0952, -0.0199363, 0, 0, -2.35, -1233.64, 0, -0.456713, -0.0199363, -2.22, 0, 0, 0
0.417, -3.09522, -0.0198054, 0, 0, -2.35, -1233.64, 0, -0.456738, -0.0198054, -2.22, 0, 0, 0
0.419, -3.09528, -0.0194864, 0, 0, -2.35, -1233.64, 0, -0.456791, -0.0194864, -2.22, 0, 0, 0
0.421, -3.0953, -0.019345, 0, 0, -2.35, -1233.64, 0, -0.456815, -0.019345, -2.22, 0, 0, 0
0.423, -3.09535, -0.0200608, 0, 0, -2.35, -1233.64, 0, -0.456868, -0.0200608, -2.22, 0, 0, 0
0.425, -3.09538, -0.020378, 0, 0, -2.35, -1233.64, 0, -0.456892, -0.020378, -2.22, 0, 0, 0
0.427, -3.09544, -0.0214107, 0, 0, -2.35, -1233.64, 0, -0.456951, -0.0214107, -2.22, 0, 0, 0
0.429, -3.09546, -0.0218683, 0, 0, -2.35, -1233.64, 0, -0.456977, -0.0218683, -2.22, 0, 0, 0
0.431, -3.09552, -0.0209573, 0, 0, -2.35, -1233.64, 0, -0.457035, -0.0209573, -2.22, 0, 0, 0
0.433, -3.09554, -0.0205536, 0, 0, -2.35, -1233.64, 0, -0.457061, -0.0205536, -2.22, 0, 0, 0
0.435, -3.0956, -0.0205237, 0, 0, -2.35, -1233.64, 0, -0.457116, -0.0205237, -2.22, 0, 0, 0
0.437, -3.09563, -0.0205105, 0, 0, -2.35, -1233.64, 0, -0.457141, -0.0205105, -2.22, 0, 0, 0
0.439, -3.09568, -0.0213582, 0, 0, -2.35, -1233.64, 0, -0.457198, -0.0213582, -2.22, 0, 0, 0
0.441, -3.09571, -0.0217338, 0, 0, -2.35, -1233.64, 0, -0.457224, -0.0217338, -2.22, 0, 0, 0
0.443, -3.09577, -0.0213433, 0, 0, -2.35, -1233.64, 0, -0.457281, -0.0213433, -2.22, 0, 0, 0
0.445, -3.09579, -0.0211702, 0, 0, -2.35, -1233.64, 0, -0.457307, -0.0211702, -2.22, 0, 0, 0
0.447, -3.09585, -0.0222068, 0, 0, -2.35, -1233.64, 0, -0.457368, -0.0222068, -2.22, 0, 0, 0
0.449, -3.09588, -0.0226661, 0, 0, -2.35, -1233.64, 0, -0.457395, -0.0226661, -2.22, 0, 0, 0
0.451, -3.09594, -0.0230187, 0, 0, -2.35, -1233.64, 0, -0.457458, -0.0230187, -2.22, 0, 0, 0
0.453, -3.09597, -0.023175, 0, 0, -2.35, -1233.64, 0, -0.457486, -0.023175, -2.22, 0, 0, 0
0.455, -3.09603, -0.0230592, 0, 0, -2.35, -1233.64, 0, -0.457549, -0.0230592, -2.22, 0, 0, 0
0.457, -3.09606, -0.023008, 0, 0, -2.35, -1233.64, 0, -0.457577, -0.023008, -2.22, 0, 0, 0
0.459, -3.09613, -0.0231322, 0, 0, -2.35, -1233.64, 0, -0.457641, -0.0231322, -2.22, 0, 0, 0
0.461, -3.09615, -0.0231873, 0, 0, -2.35, -1233.64, 0, -0.45767, -0.0231873, -2.22, 0, 0, 0
0.463, -3.09623, -0.0237661, 0, 0, -2.35, -1233.64, 0, -0.457743, -0.0237661, -2.22, 0, 0, 0
0.465, -3.09626, -0.0240226, 0, 0, -2.35, -1233.64, 0, -0.457776, -0.0240226, -2.22, 0, 0, 0
0.467, -3.09627, -0.0241363, 0, 0, -2.35, -1233.64, 0, -0.45779, -0.0241363, -2.22, 0, 0, 0
0.469, -3.09637, -0.0241504, 0, 0, -2.35, -1233.64, 0, -0.457888, -0.0241504, -2.22, 0, 0, 0
0.471, -3.09642, -0.0241567, 0, 0, -2.35, -1233.64, 0, -0.457931, -0.0241567, -2.22, 0, 0, 0
0.473, -3.09649, -0.0243834, 0, 0, -2.35, -1233.64, 0, -0.458004, -0.0243834, -2.22, 0, 0, 0
0.475, -3.09652, -0.0244839, 0, 0, -2.35, -1233.64, 0, -0.458036, -0.0244839, -2.22, 0, 0, 0
0.477, -3.09659, -0.0255277, 0, 0, -2.35, -1233.64, 0, -0.458108, -0.0255277, -2.22, 0, 0, 0
0.479, -3.09662, -0.0259903, 0, 0, -2.35, -1233.64, 0, -0.45814, -0.0259903, -2.22, 0, 0, 0
0.481, -3.09669, -0.0247127, 0, 0, -2.35, -1233.64, 0, -0.458207, -0.0247127, -2.22, 0, 0, 0
0.483, -3.09672, -0.0241466, 0, 0, -2.35, -1233.64, 0, -0.458237, -0.0241466, -2.22, 0, 0, 0
0.485, -3.09679, -0.0257877, 0, 0, -2.35, -1233.64, 0, -0.458307, -0.0257877, -2.22, 0, 0, 0
0.487, -3.09682, -0.0265149, 0, 0, -2.35, -1233.64, 0, -0.458339, -0.0265149, -2.22, 0, 0, 0
0.489, -3.09689, -0.0254277, 0, 0, -2.35, -1233.64, 0, -0.458409, -0.0254277, -2.22, 0, 0, 0
0.491, -3.09692, -0.0249459, 0, 0, -2.35, -1233.64, 0, -0.45844, -0.0249459, -2.22, 0, 0, 0
