T,pitch_pos,pitch_vel,wheel_pos,wheel_vel,waist_pos,waist_pos_degree,waist_vel,c_pitch_pos,c_pitch_vel,Fr,Fb,wheel_torque,waist_torque
0, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.002, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.003, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.004, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.005, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.006, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.008, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.01, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.012, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.015, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.017, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.019, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.021, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.024, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.026, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.028, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.03, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.032, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.034, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.036, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.038, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.041, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.043, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.045, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.047, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.049, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.051, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.053, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.055, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.058, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.06, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.063, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.065, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
0.067, -1.5708, 0, 0, 0, -2.35, -1233.64, 0, 1.06769, 0, 2.22, 0, 0, 0
