T,pitch_pos,pitch_vel,wheel_pos,wheel_vel,waist_pos,waist_vel,c_pitch_pos,c_pitch_vel,Fr,wheel_torque
0, -1.5708, 0, 0, 0, 0, 0, -1.53277, 0, 5, 0
0.005, -2.83499, 0.000341729, 160, -0.0305105, 0, 0, 0.344626, 0.000341729, 5, 0
0.01, -3.39521, -0.000286549, 230.902, -0.0111734, 0, 0, -0.215587, -0.000286549, 5, 0.0217227
0.014, -3.64346, -0.00015416, 262.322, -0.0894419, 0, 0, -0.463839, -0.00015416, 5, 0
0.019, -3.75347, -0.000617105, 276.245, -0.039635, 0, 0, -0.573849, -0.000617105, 5, -0.0217227
0.024, -3.80222, -0.000449832, 282.415, -0.0222577, 0, 0, -0.622599, -0.000449832, 5, -0.0868908
0.028, -3.82382, -8.04301e-05, 285.149, 0.0120418, 0, 0, -0.6442, -8.04301e-05, 5, 0
0.032, -3.83339, -0.000435989, 286.36, 0.126596, 0, 0, -0.653773, -0.000435989, 5, 0
0.038, -3.83763, -0.000258391, 286.897, 0.0482761, 0, 0, -0.658015, -0.000258391, 5, 0.0651681
0.043, -3.83951, -0.000253612, 287.135, 0.0213929, 0, 0, -0.659895, -0.000253612, 5, -0.0868908
0.047, -3.84035, -6.75272e-05, 287.241, 0.00948001, 0, 0, -0.660729, -6.75272e-05, 5, -0.0434454
0.051, -3.84072, 8.91882e-05, 287.287, 0.00420095, 0, 0, -0.661098, 8.91882e-05, 5, -0.0434454
0.056, -3.84088, -0.000360002, 287.308, 0.00890248, 0, 0, -0.661263, -0.000360002, 5, -0.108613
0.061, -3.84095, -0.000558039, 287.317, 0.15728, 0, 0, -0.661335, -0.000558039, 5, -0.0651681
0.066, -3.84099, -0.000645796, 287.321, 0.223031, 0, 0, -0.661367, -0.000645796, 5, -0.0651681
0.07, -3.841, -0.000462704, 287.323, 0.0988335, 0, 0, -0.661382, -0.000462704, 5, -0.152059
0.074, -3.84101, -0.000418142, 287.324, 0.0563139, 0, 0, -0.661391, -0.000418142, 5, 0.0217227
