T,c_pitch_pos_ref,wheel_vel_ref,pitch_pos,pitch_vel,wheel_pos,wheel_vel,waist_pos,waist_vel,c_pitch_pos,c_pitch_vel,Fr,wheel_torque
0, -0.05, -2, -1.5708, 0, 0, 0, -2.35, 0, 1.06769, 0, 2.22, 0
0.006, -0.05, -2, -1.5708, 0, -21.4751, 0, -2.35, 0, 1.06769, 0, 2.22, 0.0217227
0.01, -0.05, -2, -1.5708, 0, -30.9916, -0.00547624, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.013, -0.05, -2, -1.5708, 0, -35.2086, 0.0132197, -2.35, 0, 1.06769, 0, 2.22, 0.0651681
0.015, -0.05, -2, -1.5708, 0, -37.0774, 0.0215045, -2.35, 0, 1.06769, 0, 2.22, 0.0651681
0.018, -0.05, -2, -1.5708, 0, -37.9055, -0.0460153, -2.35, 0, 1.06769, 0, 2.22, 0
0.021, -0.05, -2, -1.5708, 0, -38.2725, -0.0203911, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.024, -0.05, -2, -1.5708, 0, -38.4351, -0.00903605, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.027, -0.05, -2, -1.5708, 0, -38.5071, -0.00400421, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.029, -0.05, -2, -1.5708, 0, -38.5391, -0.00177441, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.031, -0.05, -2, -1.5708, 0, -38.5532, -0.0438139, -2.35, 0, 1.06769, 0, 2.22, -0.0868908
0.033, -0.05, -2, -1.5708, 0, -38.5595, -0.0624432, -2.35, 0, 1.06769, 0, 2.22, -0.0868908
0.038, -0.05, -2, -1.5708, 0, -38.5623, -0.00576594, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.041, -0.05, -2, -1.5708, 0, -38.5635, 0.0193499, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.045, -0.05, -2, -1.5708, 0, -38.5641, 0.00857464, -2.35, 0, 1.06769, 0, 2.22, 0.0434454
0.049, -0.05, -2, -1.5708, 0, -38.5643, 0.00379974, -2.35, 0, 1.06769, 0, 2.22, 0.0434454
0.051, -0.05, -2, -1.5708, 0, -38.5644, 0.000119168, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.053, -0.05, -2, -1.5708, 0, -38.5645, -0.00151183, -2.35, 0, 1.06769, 0, 2.22, -0.0217227
0.055, -0.05, -2, -1.5708, 0, -38.5645, -0.000669949, -2.35, 0, 1.06769, 0, 2.22, -0.0434454
0.058, -0.05, -2, -1.5708, 0, -38.5645, -0.000296879, -2.35, 0, 1.06769, 0, 2.22, -0.0434454
