t,c_pitch_vel_ref,waist_pos_ref,wheel_vel_ref
0.0,0.0,0.0,0.0
0.002,0.0,3.0352539648000004e-06,0.0
0.004,0.0,2.3989950873600002e-05,0.0
0.006,0.0,7.99866814464e-05,0.0
0.008,0.0,0.00018729161195520002,0.0
0.01,0.0,0.00036132864000000005,0.0
0.012,0.0,0.0006166935502848,0.0
0.014,0.0,0.0009671681703936003,0.0
0.016,0.0,0.0014257345265664,0.0
0.018000000000000002,0.0,0.0020045889994752004,0.0
0.02,0.0,0.0027151564800000005,0.0
0.022,0.0,0.0035681045250048,0.0
0.024,0.0,0.0045733575131135995,0.0
0.026000000000000002,0.0,0.005740110800486402,0.0
0.028,0.0,0.0070768448765952015,0.0
0.03,0.0,0.00859133952,0.0
0.032,0.0,0.010290687954124801,0.0
0.034,0.0,0.012181311003033601,0.0
0.036000000000000004,0.0,0.014268971247206405,0.0
0.038,0.0,0.0165587871793152,0.0
0.04,0.0,0.019055247360000006,0.0
0.042,0.0,0.021762224573644805,0.0
0.044,0.0,0.024682989984153598,0.0
0.046,0.0,0.027820227290726394,0.0
0.048,0.0,0.0311760468836352,0.0
0.05,0.0,0.03475200000000001,0.0
0.052000000000000005,0.0,0.03854909287956481,0.0
0.054,0.0,0.042567800920473596,0.0
0.056,0.0,0.04680808283504641,0.0
0.058,0.0,0.05126939480555521,0.0
0.06,0.0,0.05595070463999999,0.0
0.062,0.0,0.060850505927884796,0.0
0.064,0.0,0.06596683219599361,0.0
0.066,0.0,0.0712972710641664,0.0
0.068,0.0,0.0768389784010752,0.0
0.07,0.0,0.08258869248000004,0.0
0.07200000000000001,0.0,0.08854274813460483,0.0
0.074,0.0,0.09469709091471358,0.0
0.076,0.0,0.1010472912420864,0.0
0.078,0.0,0.1075885585661952,0.0
0.08,0.0,0.11431575552000003,0.0
0.082,0.0,0.12122341207572485,0.0
0.084,0.0,0.1283057397006336,0.0
0.08600000000000001,0.0,0.1355566455128064,0.0
0.088,0.0,0.1429697464369152,0.0
0.09,0.0,0.15053838335999997,0.0
0.092,0.0,0.1582556352872448,0.0
0.094,0.0,0.1661143334977536,0.0
0.096,0.0,0.17410707570032638,0.0
0.098,0.0,0.18222624018923525,0.0
0.1,0.0,0.19046400000000008,0.0
0.10200000000000001,0.0,0.19881233706516488,0.0
0.10400000000000001,0.0,0.20726305637007364,0.0
0.106,0.0,0.21580780010864636,0.0
0.108,0.0,0.22443806183915516,0.0
0.11,0.0,0.23314520064,0.0
0.112,0.0,0.2419204552654849,0.0
0.114,0.0,0.2507549583015936,0.0
0.116,0.0,0.25963975032176645,0.0
0.11800000000000001,0.0,0.2685657940426752,0.0
